Time,Channel1
14.49166667,-0.39500000
14.49444444,-0.39000000
14.49722222,-0.38000000
14.50000000,-0.37500000
14.50277778,-0.38000000
14.50555556,-0.39000000
14.50833333,-0.39000000
14.51111111,-0.39000000
14.51388889,-0.38500000
14.51666667,-0.37500000
14.51944444,-0.38500000
14.52222222,-0.39000000
14.52500000,-0.39000000
14.52777778,-0.38000000
14.53055556,-0.37500000
14.53333333,-0.37500000
14.53611111,-0.38500000
14.53888889,-0.38000000
14.54166667,-0.38000000
14.54444444,-0.36500000
14.54722222,-0.34000000
14.55000000,-0.33500000
14.55277778,-0.34500000
14.55555556,-0.36500000
14.55833333,-0.35000000
14.56111111,-0.33500000
14.56388889,-0.31500000
14.56666667,-0.33500000
14.56944444,-0.32500000
14.57222222,-0.33000000
14.57500000,-0.33000000
14.57777778,-0.31000000
14.58055556,-0.30000000
14.58333333,-0.30000000
14.58611111,-0.30000000
14.58888889,-0.30000000
14.59166667,-0.29500000
14.59444444,-0.28500000
14.59722222,-0.26500000
14.60000000,-0.28000000
14.60277778,-0.28500000
14.60555556,-0.29000000
14.60833333,-0.29500000
14.61111111,-0.26500000
14.61388889,-0.25000000
14.61666667,-0.23500000
14.61944444,-0.24000000
14.62222222,-0.24000000
14.62500000,-0.24000000
14.62777778,-0.22000000
14.63055556,-0.20500000
14.63333333,-0.19500000
14.63611111,-0.19500000
14.63888889,-0.19500000
14.64166667,-0.19000000
14.64444444,-0.17500000
14.64722222,-0.16000000
14.65000000,-0.16000000
14.65277778,-0.17000000
14.65555556,-0.17500000
14.65833333,-0.18000000
14.66111111,-0.18000000
14.66388889,-0.17500000
14.66666667,-0.16500000
14.66944444,-0.18500000
14.67222222,-0.20500000
14.67500000,-0.19500000
14.67777778,-0.18000000
14.68055556,-0.18500000
14.68333333,-0.19000000
14.68611111,-0.20500000
14.68888889,-0.21500000
14.69166667,-0.22500000
14.69444444,-0.22500000
14.69722222,-0.23500000
14.70000000,-0.23000000
14.70277778,-0.22500000
14.70555556,-0.24500000
14.70833333,-0.25000000
14.71111111,-0.24000000
14.71388889,-0.24000000
14.71666667,-0.23500000
14.71944444,-0.25000000
14.72222222,-0.26000000
14.72500000,-0.27000000
14.72777778,-0.26500000
14.73055556,-0.26000000
14.73333333,-0.26000000
14.73611111,-0.26000000
14.73888889,-0.27000000
14.74166667,-0.27000000
14.74444444,-0.27500000
14.74722222,-0.26000000
14.75000000,-0.26500000
14.75277778,-0.26000000
14.75555556,-0.27000000
14.75833333,-0.28500000
14.76111111,-0.27000000
14.76388889,-0.27500000
14.76666667,-0.26000000
14.76944444,-0.27500000
14.77222222,-0.28000000
14.77500000,-0.28500000
14.77777778,-0.27500000
14.78055556,-0.27500000
14.78333333,-0.27000000
14.78611111,-0.28500000
14.78888889,-0.28500000
14.79166667,-0.28500000
14.79444444,-0.28000000
14.79722222,-0.28500000
14.80000000,-0.28000000
14.80277778,-0.27500000
14.80555556,-0.30000000
14.80833333,-0.31000000
14.81111111,-0.30500000
14.81388889,-0.29500000
14.81666667,-0.28500000
14.81944444,-0.29500000
14.82222222,-0.30000000
14.82500000,-0.30500000
14.82777778,-0.29500000
14.83055556,-0.30000000
14.83333333,-0.29500000
14.83611111,-0.32000000
14.83888889,-0.32500000
14.84166667,-0.32000000
14.84444444,-0.30500000
14.84722222,-0.31500000
14.85000000,-0.31000000
14.85277778,-0.31500000
14.85555556,-0.33000000
14.85833333,-0.33500000
14.86111111,-0.33000000
14.86388889,-0.33000000
14.86666667,-0.32000000
14.86944444,-0.33000000
14.87222222,-0.33500000
14.87500000,-0.32500000
14.87777778,-0.33000000
14.88055556,-0.32000000
14.88333333,-0.32500000
14.88611111,-0.33500000
14.88888889,-0.34000000
14.89166667,-0.35000000
14.89444444,-0.33500000
14.89722222,-0.33000000
14.90000000,-0.34500000
14.90277778,-0.34000000
14.90555556,-0.34500000
14.90833333,-0.35000000
14.91111111,-0.34500000
14.91388889,-0.34500000
14.91666667,-0.34000000
14.91944444,-0.33500000
14.92222222,-0.34500000
14.92500000,-0.35000000
14.92777778,-0.34500000
14.93055556,-0.33500000
14.93333333,-0.35000000
14.93611111,-0.34000000
14.93888889,-0.34000000
14.94166667,-0.35000000
14.94444444,-0.33500000
14.94722222,-0.33500000
14.95000000,-0.34500000
14.95277778,-0.34000000
14.95555556,-0.35500000
14.95833333,-0.36000000
14.96111111,-0.37000000
14.96388889,-0.34500000
14.96666667,-0.33500000
14.96944444,-0.34500000
14.97222222,-0.35000000
14.97500000,-0.36000000
14.97777778,-0.35000000
14.98055556,-0.34500000
14.98333333,-0.33500000
14.98611111,-0.35000000
14.98888889,-0.34500000
14.99166667,-0.35500000
14.99444444,-0.34500000
14.99722222,-0.34000000
15.00000000,-0.33500000
15.00277778,-0.34000000
15.00555556,-0.34500000
15.00833333,-0.36500000
15.01111111,-0.35000000
15.01388889,-0.35000000
15.01666667,-0.34000000
15.01944444,-0.35000000
15.02222222,-0.36000000
15.02500000,-0.36500000
15.02777778,-0.35000000
15.03055556,-0.34500000
15.03333333,-0.34000000
15.03611111,-0.33000000
15.03888889,-0.33000000
15.04166667,-0.34500000
15.04444444,-0.34000000
15.04722222,-0.33000000
15.05000000,-0.33000000
15.05277778,-0.34500000
15.05555556,-0.34000000
15.05833333,-0.34000000
15.06111111,-0.33000000
15.06388889,-0.34000000
15.06666667,-0.33000000
15.06944444,-0.33000000
15.07222222,-0.32500000
15.07500000,-0.32500000
15.07777778,-0.31000000
15.08055556,-0.30500000
15.08333333,-0.31500000
15.08611111,-0.30000000
15.08888889,-0.30500000
15.09166667,-0.29000000
15.09444444,-0.25000000
15.09722222,-0.21500000
15.10000000,-0.16000000
15.10277778,-0.03500000
15.10555556,0.25500000
